44 95 <Esc>
116 94 <F1>
190 94 <F2>
261 94 <F3>
333 94 <F4>
405 94 <F5>
478 94 <F6>
549 95 <F6>
621 95 <F7>
693 94 <F8>
766 93 <F9>
838 94 <F10>
911 93 <F11>
42 150 ~ `
113 151 ! 1
184 151 @ 2
253 149 # 3
323 150 $ 4
393 151 % 5
462 150 ^ 6
530 150 & 7
601 151 * 8
670 150 ( 9
739 150 ) 0
810 150 - _
879 150 + =
964 151 <BckSp>
60 217 <Tab>
149 220 Q q
218 219 W w
288 218 E e
358 217 R r
427 218 T t
496 219 Y y
567 217 U u
636 219 I i
705 217 O o
775 217 P p
845 217 { [
914 217 } ]
983 218 \ |
67 283 <CpsLk>
167 287 A a
236 286 S s
306 286 D d
376 284 F f
445 285 G g
516 285 H h
586 287 J j
653 284 K k
723 286 L l
792 286 : ;
861 284 " '
956 284 <Enter>
83 351 <LShft>
199 353 Z z
269 352 X x
338 352 C c
408 353 V v
479 352 B b
547 352 N n
617 352 M m
691 352 < ,
758 353 > .
827 353 ? /
935 354 <RShft
45 423 <Fn>
114 424 <LCtrl>
183 423 <LAlt>
259 423 <LMeta>
479 424 <Space>
696 425 <RCtrl>
774 425 <AltGr>
843 441 <Left>
914 409 <Up>
915 442 <Down>
983 442 <Right>
